country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Senegal,SN,SEN,686,National,16,Other unimproved,0.0,Survey - SUR17
Senegal,SN,SEN,686,National,17,DK/missing information,0.0,Survey - SUR17
Senegal,SN,SEN,686,Urban,1,Flush and pour flush - to piped sewer system,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,2,Flush and pour flush - to septic tank,0.725,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,3,Flush and pour flush - to pit,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,5,Flush and pour flush - to elsewhere,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,8,Dry latrines - Traditional latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,11,Dry latrines - Bucket latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,12,Dry latrines - Other,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,13,Composting toilets,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,14,Other improved,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,15,"No facility, bush, field",0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,16,Other unimproved,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Urban,17,DK/missing information,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,1,Flush and pour flush - to piped sewer system,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,2,Flush and pour flush - to septic tank,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,3,Flush and pour flush - to pit,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,5,Flush and pour flush - to elsewhere,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,8,Dry latrines - Traditional latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,11,Dry latrines - Bucket latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,12,Dry latrines - Other,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,13,Composting toilets,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,14,Other improved,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,15,"No facility, bush, field",0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,16,Other unimproved,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,Rural,17,DK/missing information,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,1,Flush and pour flush - to piped sewer system,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,2,Flush and pour flush - to septic tank,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,3,Flush and pour flush - to pit,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,5,Flush and pour flush - to elsewhere,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,8,Dry latrines - Traditional latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,11,Dry latrines - Bucket latrine,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,12,Dry latrines - Other,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,13,Composting toilets,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,14,Other improved,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,15,"No facility, bush, field",0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,16,Other unimproved,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
Senegal,SN,SEN,686,National,17,DK/missing information,0.0,Programme d'eau potyable e d'assainissement du millenaire - PEPAM17
